epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,653.814,0.58892,0.48063,0.87726,1,0.92699,0.985,0.83748,0.61179,0.52477,0.90969,0.0003664,0.0003664,0.0003664
66,663.346,0.52743,0.45238,0.88575,1,0.92858,0.985,0.84641,0.6172,0.51517,0.90603,0.0003565,0.0003565,0.0003565
67,672.278,0.58809,0.47053,0.87334,0.87982,1,0.98327,0.84387,0.63126,0.53502,0.90584,0.0003466,0.0003466,0.0003466
68,682.322,0.5663,0.46133,0.88533,0.88104,1,0.98327,0.86092,0.61623,0.54064,0.90977,0.0003367,0.0003367,0.0003367
69,692.252,0.53021,0.44022,0.85504,0.88206,0.99736,0.98327,0.87992,0.58888,0.51021,0.90984,0.0003268,0.0003268,0.0003268
70,702.663,0.55962,0.45496,0.88123,0.88186,0.99553,0.98327,0.85508,0.58868,0.50162,0.91214,0.0003169,0.0003169,0.0003169
71,712.215,0.53871,0.44602,0.893,1,0.92384,0.98794,0.84819,0.60703,0.50299,0.9221,0.000307,0.000307,0.000307
72,723.542,0.54079,0.4441,0.88456,1,0.93029,0.98794,0.853,0.61753,0.51432,0.92763,0.0002971,0.0002971,0.0002971
73,735.043,0.55152,0.45794,0.91237,1,0.92679,0.98794,0.8314,0.63213,0.50765,0.93845,0.0002872,0.0002872,0.0002872
74,745.52,0.59199,0.48222,0.89674,1,0.91243,0.98794,0.83335,0.62403,0.49726,0.938,0.0002773,0.0002773,0.0002773
75,756.297,0.51427,0.42159,0.8804,0.88186,0.9955,0.98327,0.84663,0.61687,0.49356,0.93758,0.0002674,0.0002674,0.0002674
76,768.426,0.52885,0.43679,0.87848,0.88201,0.99693,0.97861,0.83858,0.61626,0.49165,0.93609,0.0002575,0.0002575,0.0002575
77,781.677,0.55941,0.45436,0.90611,0.88208,0.99756,0.97861,0.84546,0.62417,0.50336,0.93527,0.0002476,0.0002476,0.0002476
